id,date,user,pc,activity
{J1S3-L9UU75BQ-7790ATPL},01/02/2010 07:21:06,MOH0273,PC-6699,Connect
{N7B5-Y7BB27SI-2946PUJK},01/02/2010 07:37:41,MOH0273,PC-6699,Disconnect
{U1V9-Z7XT67KV-5649MYHI},01/02/2010 07:59:11,HPH0075,PC-2417,Connect
{H0Z7-E6GB57XZ-1603MOXD},01/02/2010 07:59:49,IIW0249,PC-0843,Connect
{L7P2-G4PX02RX-7999GYOY},01/02/2010 08:04:26,IIW0249,PC-0843,Disconnect
{B4V1-F2XA86NJ-0683CLUB},01/02/2010 08:17:35,HPH0075,PC-2417,Disconnect
{N7C0-Y0QQ16KO-4619HDNN},01/02/2010 08:24:54,HSB0196,PC-8001,Connect
{J3A7-Z5JP56DF-7855PJKX},01/02/2010 08:25:18,RRC0553,PC-6672,Connect
{H9X8-R0QB50BG-6009OAKA},01/02/2010 08:25:19,MOH0273,PC-6699,Connect
{J9M2-G1YI63RE-9923EBLY},01/02/2010 08:29:40,MOH0273,PC-6699,Disconnect
{F6Y5-L8KB48CH-8878LYRD},01/02/2010 08:37:19,HSB0196,PC-8001,Disconnect
{W1Q8-J7VP80BK-3141KICJ},01/02/2010 08:42:18,RRC0553,PC-6672,Disconnect
{V2X9-M6RX86FT-5876HFTT},01/02/2010 09:04:18,RRC0553,PC-6672,Connect
{Y9B4-R9ZF66SI-4830IHLV},01/02/2010 09:05:03,IIW0249,PC-0843,Connect
{G0F2-L3HD38PO-9615PWRH},01/02/2010 09:14:14,MOH0273,PC-6699,Connect
{G8U2-N0YV97HS-0321CNBR},01/02/2010 09:22:55,BQS0525,PC-0269,Connect
{N2E4-Z4NO18YQ-2041SCVL},01/02/2010 09:25:02,IIW0249,PC-0843,Disconnect
{R4R3-H0RJ31VR-4960SQQD},01/02/2010 09:25:33,IIW0249,PC-0843,Connect
{E4C0-M1WA06EJ-8811MVTX},01/02/2010 09:36:51,MOH0273,PC-6699,Disconnect
{K9U3-C3CL36ES-2245QHYI},01/02/2010 09:38:58,RAW0915,PC-2113,Connect
{G1N7-L6VI91TC-8049JXWP},01/02/2010 09:39:03,RRC0553,PC-6672,Disconnect
{C3Q9-H8FM41TF-0197RDFX},01/02/2010 09:41:25,RRC0553,PC-6672,Connect
{Z2H1-N5DI43BJ-5382DOVG},01/02/2010 09:44:24,RRC0553,PC-6672,Disconnect
{J3R3-W0NN51HK-0256NDFA},01/02/2010 09:45:49,JCR0172,PC-6713,Connect
{M5X1-L1SE72OU-5668IYJP},01/02/2010 09:48:07,HSB0196,PC-8001,Connect
{H6H1-R1RA61SZ-9739MMHO},01/02/2010 09:48:57,HPH0075,PC-2417,Connect
{K4Q0-E2HW65TS-9638PBMI},01/02/2010 09:49:33,HSB0196,PC-8001,Disconnect
{R2M5-Y4SH41AL-8396QOYF},01/02/2010 09:51:56,RAW0915,PC-2113,Disconnect
{X5W5-D6SK53FF-4298XGTU},01/02/2010 09:52:16,MOH0273,PC-6699,Connect
{F0T6-M0KH37UX-0537QIVN},01/02/2010 09:53:10,HPH0075,PC-2417,Disconnect
{K8O1-Y2RV42WU-5561YFKN},01/02/2010 09:54:17,BQS0525,PC-0269,Disconnect
{Y0X7-N7HW32LM-5594YYHM},01/02/2010 09:56:41,IIW0249,PC-0843,Disconnect
{E4B1-U9XY63FR-1447MDMV},01/02/2010 09:59:33,MOH0273,PC-6699,Disconnect
{V5M6-H4RX62DI-1348LPZO},01/02/2010 10:21:13,HPH0075,PC-2417,Connect
{I8A5-A9PM25WX-2619SQRR},01/02/2010 10:25:20,JCR0172,PC-6713,Disconnect
{J8J0-S2AT84QO-7514TGWB},01/02/2010 10:27:26,BQS0525,PC-0269,Connect
{U4W4-F8KR59ZT-8729QNUW},01/02/2010 10:28:50,IIW0249,PC-0843,Connect
{F9L3-Y8ZE73LG-8974FHET},01/02/2010 10:30:55,MOH0273,PC-6699,Connect
{L0X7-E5FY66XM-6531GXME},01/02/2010 10:33:23,HPH0075,PC-2417,Disconnect
{F3J2-U7WM40PC-4726GLMS},01/02/2010 10:37:30,MOH0273,PC-6699,Disconnect
{N3D0-M1EG80XQ-4294LUZA},01/02/2010 10:50:34,BQS0525,PC-0269,Disconnect
{G8G4-A0UO82PI-0463YKGB},01/02/2010 10:50:46,HSB0196,PC-8001,Connect
{K2J7-U3WE65FQ-9093YEFI},01/02/2010 11:04:54,IIW0249,PC-0843,Disconnect
{P0T2-T8KU28KY-4795PPMT},01/02/2010 11:07:11,IIW0249,PC-0843,Connect
{I7N0-B3VH88LN-7720CZRT},01/02/2010 11:22:50,HSB0196,PC-8001,Disconnect
{U3M6-Q1HX50EH-6644QMMO},01/02/2010 11:24:49,BQS0525,PC-0269,Connect
{C2I8-T1NP38LH-0606TAYO},01/02/2010 11:49:14,IIW0249,PC-0843,Disconnect
{F5A1-S8IJ06AJ-3351FFKB},01/02/2010 11:50:13,LRR0148,PC-4275,Connect
{T9B4-J3MM51MI-9454MTUN},01/02/2010 12:07:05,IIW0249,PC-0843,Connect
{P0Q5-Z4EK81MA-4279IILE},01/02/2010 12:17:25,IIW0249,PC-0843,Disconnect
{E7G5-Q3XU87FX-6900LEZD},01/02/2010 12:22:36,RAW0915,PC-2113,Connect
{L6A6-T4VS57JP-9740TBXZ},01/02/2010 12:26:44,BQS0525,PC-0269,Disconnect
{V8Z8-S2BA08GQ-8509UJKX},01/02/2010 12:27:51,LRR0148,PC-4275,Disconnect
{M2I2-O7HP86UX-2320DBNX},01/02/2010 12:28:35,RAW0915,PC-2113,Disconnect
{C2T8-H1DM73UX-8162CBYB},01/02/2010 12:54:44,MOH0273,PC-6699,Connect
{M7E9-N8PG54AU-3954YPUI},01/02/2010 13:16:08,MOH0273,PC-6699,Disconnect
{P5H0-D3IC95GM-0676NNZG},01/02/2010 13:18:44,HSB0196,PC-8001,Connect
{H9T9-U1IW86VG-9060XGAO},01/02/2010 13:19:04,IIW0249,PC-0843,Connect
{D6H2-K3LV78YL-0941TIVN},01/02/2010 13:23:03,BQS0525,PC-0269,Connect
{C7B7-I2ED86WY-4496ALCG},01/02/2010 13:24:29,LRR0148,PC-4275,Connect
{M4Z7-W1CJ36ZW-1558XMYK},01/02/2010 13:28:25,HPH0075,PC-2417,Connect
{D1A3-I2MF87MA-3577PXSA},01/02/2010 13:37:47,BQS0525,PC-0269,Disconnect
{W7I0-U3EC32TF-0536ZVND},01/02/2010 13:37:59,HSB0196,PC-8001,Disconnect
{C2E3-N4SD12DJ-0794MTCL},01/02/2010 13:49:53,IIW0249,PC-0843,Disconnect
{F7R1-G2ML17QW-5678YOTN},01/02/2010 13:50:09,BRS0734,PC-4785,Connect
{X9F8-G6AZ21VV-0429WPGM},01/02/2010 13:52:07,HSB0196,PC-8001,Connect
{Q1X7-A3WF55RT-9430YIHZ},01/02/2010 13:53:33,HSB0196,PC-8001,Disconnect
{F8O1-T7JE00WW-5921IVVL},01/02/2010 14:05:23,ABC0174,PC-5156,Connect
{G5M1-D3TT85KB-3124RGUE},01/02/2010 14:10:00,BRS0734,PC-4785,Disconnect
{X8U6-X3ZT04AK-1070FWHM},01/02/2010 14:14:43,JDC0030,PC-0246,Connect
{V3J5-N6HB07ES-4947WKPC},01/02/2010 14:16:12,BRS0734,PC-4785,Connect
{F6Y5-I8PO93XR-4134WWQP},01/02/2010 14:19:53,JDC0030,PC-0246,Disconnect
{R9T1-L8TJ12YA-9220TTZX},01/02/2010 14:20:34,BRB0355,PC-9896,Connect
{E9X3-V3TZ40US-4884IIOO},01/02/2010 14:24:15,BRB0355,PC-9896,Disconnect
{J1H4-Q3CQ48XP-9942QJAX},01/02/2010 14:26:09,ABC0174,PC-5156,Disconnect
{G3E8-J5LN60WB-5890BAZX},01/02/2010 14:36:35,LRR0148,PC-4275,Disconnect
{N6H7-O1KE08CS-1918HIYF},01/02/2010 14:37:55,BRS0734,PC-4785,Disconnect
{Q6A1-Z2VN28GY-3448JWZD},01/02/2010 14:47:16,IIW0249,PC-0843,Connect
{J9P3-U5YU80QA-1747BPLI},01/02/2010 14:53:43,IIW0249,PC-0843,Disconnect
{H9M7-P6WU99JW-7835GZRW},01/02/2010 14:54:47,HPH0075,PC-2417,Disconnect
{V4R8-H1IN29NA-7924KCKQ},01/02/2010 15:02:19,HSB0196,PC-8001,Connect
{U5Z2-O5MT85YE-4559ZYOO},01/02/2010 15:10:36,BQS0525,PC-0269,Connect
{D7Y7-D2NF96UH-4061SPLW},01/02/2010 15:15:24,ABC0174,PC-5156,Connect
{C8X8-O5NF58AU-5817JFCN},01/02/2010 15:24:39,IKP0472,PC-3842,Connect
{Q5H2-A3MA56MH-9529LDAW},01/02/2010 15:25:09,HPH0075,PC-2417,Connect
{M5Z9-T1YX70KZ-7630YDXB},01/02/2010 15:28:01,HPH0075,PC-2417,Disconnect
{D5F0-Q9FI09DF-9555EIKW},01/02/2010 15:29:39,HSB0196,PC-8001,Disconnect
{D2Z1-M7VP44WU-2857FCLL},01/02/2010 15:30:23,IIW0249,PC-0843,Connect
{P8T1-Y2VK79YN-7473DCGH},01/02/2010 15:39:33,BRB0355,PC-9896,Connect
{M7O7-G7RR19YJ-4697VSKD},01/02/2010 15:42:13,BQS0525,PC-0269,Disconnect
{E1T6-I2XY87AI-2122PCOG},01/02/2010 15:49:54,HPH0075,PC-2417,Connect
{H8L3-O8NX24RX-4314CIKK},01/02/2010 15:50:30,HSB0196,PC-8001,Connect
{B9S9-V1FE87ZM-8498PPHR},01/02/2010 15:50:55,HPH0075,PC-2417,Disconnect
{S0Y0-T8PM22CT-7924KUYG},01/02/2010 15:53:52,LRR0148,PC-4275,Connect
{V4G7-U0CC68YZ-2720BUYN},01/02/2010 15:54:00,ABC0174,PC-5156,Disconnect
{E7I1-O3IA00OG-2621VMAO},01/02/2010 15:56:11,HSB0196,PC-8001,Disconnect
{W6I6-L6RO03LG-3130LCLY},01/02/2010 16:02:15,NOB0181,PC-3446,Connect
{W0A9-D9EH81YW-1578EKCA},01/02/2010 16:06:15,NOB0181,PC-3446,Disconnect
{Q7Y1-O1JM37RF-1353TVEY},01/02/2010 16:07:12,HSB0196,PC-8001,Connect
{R7B2-C9SA96PM-5894FOUO},01/02/2010 16:14:07,IKP0472,PC-3842,Disconnect
{V6M8-V6HN16UT-1309OXBP},01/02/2010 16:18:36,MOH0273,PC-6699,Connect
{D7M3-X7FJ90AU-4017BXLF},01/02/2010 16:19:48,HPH0075,PC-2417,Connect
{A9A8-A8XE11DU-5509WXUB},01/02/2010 16:22:04,NOB0181,PC-3446,Connect
{Q7T1-A2LB12FC-1273DYQX},01/02/2010 16:24:49,MOH0273,PC-6699,Disconnect
{T3E2-L7IE22UN-6507LHMO},01/02/2010 16:25:46,LRR0148,PC-4275,Disconnect
{M7M1-K0CG69SB-7268XMHQ},01/02/2010 16:31:28,IIW0249,PC-0843,Disconnect
{S7Z9-L2ON23WR-8342BRDA},01/02/2010 16:33:26,BRB0355,PC-9896,Disconnect
{F5L6-M8EX10YM-8659HCIP},01/02/2010 16:34:38,BQS0525,PC-0269,Connect
{C3C0-I1YX95BS-3323GVFQ},01/02/2010 16:36:45,NOB0181,PC-3446,Disconnect
{E4E4-W9IF53XO-9995FGSZ},01/02/2010 16:44:49,BQS0525,PC-0269,Disconnect
{I9D6-S2LU78FO-8491GNAL},01/02/2010 16:48:17,HSB0196,PC-8001,Disconnect
{V8B4-D5LS40PZ-7668BDJQ},01/02/2010 16:50:27,HPH0075,PC-2417,Disconnect
{Y8L5-F8WJ06TQ-7924XGUC},01/02/2010 17:31:52,HSB0196,PC-8001,Connect
{Z6L9-G8PI35UO-8583XRQI},01/02/2010 17:37:00,HSB0196,PC-8001,Disconnect
{R8E3-A6AM97EP-9769VNJQ},01/02/2010 19:03:15,AOK0844,PC-4659,Connect
{I9I8-G9PZ24SM-9910BKMR},01/02/2010 19:09:24,AOK0844,PC-4659,Disconnect
{L4P7-W4CW24LW-6403GOJN},01/03/2010 01:10:23,BSS0369,PC-8884,Connect
{D2K0-C9QG57VO-8371VVWV},01/03/2010 01:10:28,BSS0369,PC-8884,Disconnect
{V6A2-N3GN21DZ-6202FOTS},01/03/2010 07:15:40,LBH0942,PC-3640,Connect
{B3Q9-G0GO06PF-4045NJMH},01/03/2010 07:23:45,DLM0051,PC-0166,Connect
{S3C5-B7YZ21GZ-9445DCGQ},01/03/2010 07:28:22,LBH0942,PC-3640,Disconnect
{R6F1-H4EB16BW-6536PZJJ},01/03/2010 07:30:03,DLM0051,PC-0166,Disconnect
{N4E3-D5JG67SC-1571GASB},01/03/2010 07:42:20,QOS0878,PC-2211,Connect
{F9E4-L8HL46XU-6244KFFA},01/03/2010 07:44:58,LBH0942,PC-3640,Connect
{L7L9-P4KJ43CP-4607DODH},01/03/2010 07:45:51,QOS0878,PC-2211,Disconnect
{M1Z9-V7JK60II-3357ENXQ},01/03/2010 07:59:46,DLM0051,PC-0166,Connect
{Q3H6-R5UO89CI-9088RHAH},01/03/2010 08:04:04,LBH0942,PC-3640,Disconnect
{S3J9-E6GO84BJ-8899RGIG},01/03/2010 08:10:20,DLM0051,PC-0166,Disconnect
{F9H8-A6QG91GY-2330LRMH},01/03/2010 08:24:06,LBH0942,PC-3640,Connect
{V2M1-T8WS34NB-5137ZEUM},01/03/2010 08:27:35,LBH0942,PC-3640,Disconnect
{T1Q2-F7RG75FC-3106PDRL},01/03/2010 08:43:53,HSB0196,PC-8001,Connect
{J3A4-Y1MM89JE-7886KVVU},01/03/2010 09:04:28,BDI0533,PC-5883,Connect
{G7J3-R1CP39AU-6545ZRAM},01/03/2010 09:09:25,BRB0355,PC-9896,Connect
{N9V1-P6IS13IO-8583UYGB},01/03/2010 09:15:31,BDI0533,PC-5883,Disconnect
{E6Q6-G5UR91NZ-6122CIUB},01/03/2010 09:21:32,HAD0246,PC-0926,Connect
{Q2K6-U3EA18QV-6546PNIP},01/03/2010 09:32:59,HAD0246,PC-0926,Disconnect
{H4V5-J8MK18LR-8012ETFI},01/03/2010 09:33:11,DLM0051,PC-0166,Connect
{G9Y1-A9GL92NT-1943ZRHY},01/03/2010 09:38:45,DLM0051,PC-0166,Disconnect
{I7R1-H0JH59OE-3286CTWB},01/03/2010 09:44:50,BSS0369,PC-3672,Connect
{B8U6-P8JE74VA-7415IBON},01/03/2010 09:58:43,LBH0942,PC-3640,Connect
{Y1I2-V0OY37FD-6248FPGI},01/03/2010 09:58:44,LBH0942,PC-3640,Disconnect
{X3V4-Q1TM46DT-8702KSGE},01/03/2010 10:00:01,BSS0369,PC-3672,Disconnect
{Y9A6-V6NE54SF-0864YOEZ},01/03/2010 10:13:04,BRB0355,PC-9896,Disconnect
{S1C1-I0HD95NR-3200WYZQ},01/03/2010 10:18:40,BSS0369,PC-3672,Connect
{B1I3-J6XG41QP-2966DAAK},01/03/2010 10:19:34,HSB0196,PC-8001,Disconnect
{U9E1-N0AO21YH-8306PMGM},01/03/2010 10:20:33,HSB0196,PC-8001,Connect
{H3A1-D3UB24BS-6633WTRW},01/03/2010 10:21:21,BQS0525,PC-0269,Connect
{L5J2-M4FB19GY-6416EGHI},01/03/2010 10:27:49,WIQ0567,PC-6113,Connect
{B4Q4-S9GR30CB-1657HMAM},01/03/2010 10:28:18,BSS0369,PC-3672,Disconnect
{P0H9-F9TL39LZ-1681FMTL},01/03/2010 10:30:46,HSB0196,PC-8001,Disconnect
{N0K7-K3WY45GB-4278ZWTE},01/03/2010 10:38:55,HSB0196,PC-8001,Connect
{P8W8-T4YS21TL-0340XFON},01/03/2010 10:45:39,DLM0051,PC-0166,Connect
{Y3H6-T2UW86QF-5388ADDY},01/03/2010 10:47:33,DLM0051,PC-0166,Disconnect
{S4A9-D1MF25NF-6997TPLD},01/03/2010 10:51:14,BVC0790,PC-0008,Connect
{I9P3-Y4GT67XP-3369NIGI},01/03/2010 10:53:53,WIQ0567,PC-6113,Disconnect
{Y8F3-D1WB09SV-0708NZLG},01/03/2010 10:53:54,OBH0499,PC-7989,Connect
{T0H7-T9FN25PR-8733SKRW},01/03/2010 10:57:14,OBH0499,PC-7989,Disconnect
{G8B4-Y0KI82BJ-7812KWHS},01/03/2010 10:59:39,HSB0196,PC-8001,Disconnect
{T4N3-M9BI74QO-2983RGZE},01/03/2010 11:03:56,OBH0499,PC-7989,Connect
{T2H5-S1TF31HB-3937FELY},01/03/2010 11:06:13,NAF0326,PC-0384,Connect
{J5S3-F4CV49LP-7070OKIZ},01/03/2010 11:12:24,OBH0499,PC-7989,Disconnect
