user,date,activity
MOH0273,01/02/2010 07:21:06,Connect
MOH0273,01/02/2010 07:37:41,Disconnect
HPH0075,01/02/2010 07:59:11,Connect
IIW0249,01/02/2010 07:59:49,Connect
IIW0249,01/02/2010 08:04:26,Disconnect
HPH0075,01/02/2010 08:17:35,Disconnect
HSB0196,01/02/2010 08:24:54,Connect
RRC0553,01/02/2010 08:25:18,Connect
MOH0273,01/02/2010 08:25:19,Connect
MOH0273,01/02/2010 08:29:40,Disconnect
HSB0196,01/02/2010 08:37:19,Disconnect
RRC0553,01/02/2010 08:42:18,Disconnect
RRC0553,01/02/2010 09:04:18,Connect
IIW0249,01/02/2010 09:05:03,Connect
MOH0273,01/02/2010 09:14:14,Connect
BQS0525,01/02/2010 09:22:55,Connect
IIW0249,01/02/2010 09:25:02,Disconnect
IIW0249,01/02/2010 09:25:33,Connect
MOH0273,01/02/2010 09:36:51,Disconnect
RAW0915,01/02/2010 09:38:58,Connect
RRC0553,01/02/2010 09:39:03,Disconnect
RRC0553,01/02/2010 09:41:25,Connect
RRC0553,01/02/2010 09:44:24,Disconnect
JCR0172,01/02/2010 09:45:49,Connect
HSB0196,01/02/2010 09:48:07,Connect
HPH0075,01/02/2010 09:48:57,Connect
HSB0196,01/02/2010 09:49:33,Disconnect
RAW0915,01/02/2010 09:51:56,Disconnect
MOH0273,01/02/2010 09:52:16,Connect
HPH0075,01/02/2010 09:53:10,Disconnect
BQS0525,01/02/2010 09:54:17,Disconnect
IIW0249,01/02/2010 09:56:41,Disconnect
MOH0273,01/02/2010 09:59:33,Disconnect
HPH0075,01/02/2010 10:21:13,Connect
JCR0172,01/02/2010 10:25:20,Disconnect
BQS0525,01/02/2010 10:27:26,Connect
IIW0249,01/02/2010 10:28:50,Connect
MOH0273,01/02/2010 10:30:55,Connect
HPH0075,01/02/2010 10:33:23,Disconnect
MOH0273,01/02/2010 10:37:30,Disconnect
BQS0525,01/02/2010 10:50:34,Disconnect
HSB0196,01/02/2010 10:50:46,Connect
IIW0249,01/02/2010 11:04:54,Disconnect
IIW0249,01/02/2010 11:07:11,Connect
HSB0196,01/02/2010 11:22:50,Disconnect
BQS0525,01/02/2010 11:24:49,Connect
IIW0249,01/02/2010 11:49:14,Disconnect
LRR0148,01/02/2010 11:50:13,Connect
IIW0249,01/02/2010 12:07:05,Connect
IIW0249,01/02/2010 12:17:25,Disconnect
RAW0915,01/02/2010 12:22:36,Connect
BQS0525,01/02/2010 12:26:44,Disconnect
LRR0148,01/02/2010 12:27:51,Disconnect
RAW0915,01/02/2010 12:28:35,Disconnect
MOH0273,01/02/2010 12:54:44,Connect
MOH0273,01/02/2010 13:16:08,Disconnect
HSB0196,01/02/2010 13:18:44,Connect
IIW0249,01/02/2010 13:19:04,Connect
BQS0525,01/02/2010 13:23:03,Connect
LRR0148,01/02/2010 13:24:29,Connect
HPH0075,01/02/2010 13:28:25,Connect
BQS0525,01/02/2010 13:37:47,Disconnect
HSB0196,01/02/2010 13:37:59,Disconnect
IIW0249,01/02/2010 13:49:53,Disconnect
BRS0734,01/02/2010 13:50:09,Connect
HSB0196,01/02/2010 13:52:07,Connect
HSB0196,01/02/2010 13:53:33,Disconnect
ABC0174,01/02/2010 14:05:23,Connect
BRS0734,01/02/2010 14:10:00,Disconnect
JDC0030,01/02/2010 14:14:43,Connect
BRS0734,01/02/2010 14:16:12,Connect
JDC0030,01/02/2010 14:19:53,Disconnect
BRB0355,01/02/2010 14:20:34,Connect
BRB0355,01/02/2010 14:24:15,Disconnect
ABC0174,01/02/2010 14:26:09,Disconnect
LRR0148,01/02/2010 14:36:35,Disconnect
BRS0734,01/02/2010 14:37:55,Disconnect
IIW0249,01/02/2010 14:47:16,Connect
IIW0249,01/02/2010 14:53:43,Disconnect
HPH0075,01/02/2010 14:54:47,Disconnect
HSB0196,01/02/2010 15:02:19,Connect
BQS0525,01/02/2010 15:10:36,Connect
ABC0174,01/02/2010 15:15:24,Connect
IKP0472,01/02/2010 15:24:39,Connect
HPH0075,01/02/2010 15:25:09,Connect
HPH0075,01/02/2010 15:28:01,Disconnect
HSB0196,01/02/2010 15:29:39,Disconnect
IIW0249,01/02/2010 15:30:23,Connect
BRB0355,01/02/2010 15:39:33,Connect
BQS0525,01/02/2010 15:42:13,Disconnect
HPH0075,01/02/2010 15:49:54,Connect
HSB0196,01/02/2010 15:50:30,Connect
HPH0075,01/02/2010 15:50:55,Disconnect
LRR0148,01/02/2010 15:53:52,Connect
ABC0174,01/02/2010 15:54:00,Disconnect
HSB0196,01/02/2010 15:56:11,Disconnect
NOB0181,01/02/2010 16:02:15,Connect
NOB0181,01/02/2010 16:06:15,Disconnect
HSB0196,01/02/2010 16:07:12,Connect
IKP0472,01/02/2010 16:14:07,Disconnect
MOH0273,01/02/2010 16:18:36,Connect
HPH0075,01/02/2010 16:19:48,Connect
NOB0181,01/02/2010 16:22:04,Connect
MOH0273,01/02/2010 16:24:49,Disconnect
LRR0148,01/02/2010 16:25:46,Disconnect
IIW0249,01/02/2010 16:31:28,Disconnect
BRB0355,01/02/2010 16:33:26,Disconnect
BQS0525,01/02/2010 16:34:38,Connect
NOB0181,01/02/2010 16:36:45,Disconnect
BQS0525,01/02/2010 16:44:49,Disconnect
HSB0196,01/02/2010 16:48:17,Disconnect
HPH0075,01/02/2010 16:50:27,Disconnect
HSB0196,01/02/2010 17:31:52,Connect
HSB0196,01/02/2010 17:37:00,Disconnect
AOK0844,01/02/2010 19:03:15,Connect
AOK0844,01/02/2010 19:09:24,Disconnect
BSS0369,01/03/2010 01:10:23,Connect
BSS0369,01/03/2010 01:10:28,Disconnect
LBH0942,01/03/2010 07:15:40,Connect
DLM0051,01/03/2010 07:23:45,Connect
LBH0942,01/03/2010 07:28:22,Disconnect
DLM0051,01/03/2010 07:30:03,Disconnect
QOS0878,01/03/2010 07:42:20,Connect
LBH0942,01/03/2010 07:44:58,Connect
QOS0878,01/03/2010 07:45:51,Disconnect
DLM0051,01/03/2010 07:59:46,Connect
LBH0942,01/03/2010 08:04:04,Disconnect
DLM0051,01/03/2010 08:10:20,Disconnect
LBH0942,01/03/2010 08:24:06,Connect
LBH0942,01/03/2010 08:27:35,Disconnect
HSB0196,01/03/2010 08:43:53,Connect
BDI0533,01/03/2010 09:04:28,Connect
BRB0355,01/03/2010 09:09:25,Connect
BDI0533,01/03/2010 09:15:31,Disconnect
HAD0246,01/03/2010 09:21:32,Connect
HAD0246,01/03/2010 09:32:59,Disconnect
DLM0051,01/03/2010 09:33:11,Connect
DLM0051,01/03/2010 09:38:45,Disconnect
BSS0369,01/03/2010 09:44:50,Connect
