user,date,activity
LAP0338,01/02/2010 07:11:45,email
MOH0273,01/02/2010 07:12:16,email
LAP0338,01/02/2010 07:13:00,email
LAP0338,01/02/2010 07:13:17,email
MOH0273,01/02/2010 07:13:28,email
HVB0037,01/02/2010 07:36:03,email
NWK0215,01/02/2010 07:52:20,email
LRR0148,01/02/2010 07:54:12,email
LRR0148,01/02/2010 07:54:49,email
LRR0148,01/02/2010 07:54:58,email
LRR0148,01/02/2010 07:55:16,email
NWK0215,01/02/2010 07:55:51,email
AJR0319,01/02/2010 07:56:09,email
LRR0148,01/02/2010 07:56:49,email
AJR0319,01/02/2010 07:57:10,email
AJR0319,01/02/2010 07:58:04,email
LRR0148,01/02/2010 07:58:07,email
LRR0148,01/02/2010 07:58:13,email
LRR0148,01/02/2010 07:58:15,email
LRR0148,01/02/2010 07:58:25,email
LRR0148,01/02/2010 07:58:44,email
AJR0319,01/02/2010 07:59:09,email
NWK0215,01/02/2010 07:59:15,email
LRR0148,01/02/2010 08:00:58,email
NWK0215,01/02/2010 08:01:21,email
LRR0148,01/02/2010 08:01:46,email
LRR0148,01/02/2010 08:01:52,email
AJR0319,01/02/2010 08:03:05,email
AJR0319,01/02/2010 08:04:42,email
NWK0215,01/02/2010 08:05:19,email
AJR0319,01/02/2010 08:06:09,email
AJR0319,01/02/2010 08:07:04,email
NWK0215,01/02/2010 08:07:39,email
HSB0196,01/02/2010 08:10:07,email
NWK0215,01/02/2010 08:11:44,email
AJR0319,01/02/2010 08:12:54,email
HVB0037,01/02/2010 08:13:19,email
NWK0215,01/02/2010 08:14:48,email
NWK0215,01/02/2010 08:15:11,email
AJR0319,01/02/2010 08:15:48,email
HVB0037,01/02/2010 08:19:26,email
AJR0319,01/02/2010 08:20:13,email
NWK0215,01/02/2010 08:20:37,email
AJR0319,01/02/2010 08:21:50,email
JDC0030,01/02/2010 08:22:15,email
NWK0215,01/02/2010 08:24:15,email
AJR0319,01/02/2010 08:26:33,email
HVB0037,01/02/2010 08:26:39,email
NWK0215,01/02/2010 08:29:17,email
NWK0215,01/02/2010 08:30:10,email
AJR0319,01/02/2010 08:31:32,email
HSB0196,01/02/2010 08:33:56,email
HVB0037,01/02/2010 08:34:41,email
MHH0180,01/02/2010 08:39:01,email
SSJ0784,01/02/2010 08:41:33,email
HVB0037,01/02/2010 08:42:36,email
HVB0037,01/02/2010 08:43:01,email
HVB0037,01/02/2010 08:43:23,email
HSB0196,01/02/2010 08:44:24,email
YIC0195,01/02/2010 08:45:36,email
WPR0368,01/02/2010 08:45:40,email
HSB0196,01/02/2010 08:46:32,email
