user,date,activity
MOH0273,01/02/2010 07:23:14,file
MOH0273,01/02/2010 07:26:19,file
HPH0075,01/02/2010 08:12:03,file
HPH0075,01/02/2010 08:17:00,file
HSB0196,01/02/2010 08:24:57,file
RRC0553,01/02/2010 08:26:49,file
RRC0553,01/02/2010 08:27:27,file
RRC0553,01/02/2010 08:27:37,file
MOH0273,01/02/2010 08:28:08,file
RRC0553,01/02/2010 08:28:17,file
MOH0273,01/02/2010 08:28:24,file
RRC0553,01/02/2010 08:29:10,file
RRC0553,01/02/2010 08:29:25,file
RRC0553,01/02/2010 08:29:40,file
RRC0553,01/02/2010 08:30:21,file
RRC0553,01/02/2010 08:31:18,file
RRC0553,01/02/2010 08:32:38,file
HSB0196,01/02/2010 08:32:54,file
RRC0553,01/02/2010 08:34:46,file
RRC0553,01/02/2010 08:34:50,file
RRC0553,01/02/2010 08:35:19,file
HSB0196,01/02/2010 08:36:52,file
RRC0553,01/02/2010 08:37:12,file
RRC0553,01/02/2010 08:38:51,file
RRC0553,01/02/2010 09:07:31,file
MOH0273,01/02/2010 09:14:38,file
RRC0553,01/02/2010 09:22:32,file
RRC0553,01/02/2010 09:24:40,file
MOH0273,01/02/2010 09:25:11,file
RRC0553,01/02/2010 09:25:19,file
MOH0273,01/02/2010 09:27:12,file
RRC0553,01/02/2010 09:30:09,file
RRC0553,01/02/2010 09:31:41,file
RRC0553,01/02/2010 09:33:21,file
RRC0553,01/02/2010 09:38:47,file
HSB0196,01/02/2010 09:48:16,file
HSB0196,01/02/2010 09:48:23,file
HSB0196,01/02/2010 09:48:27,file
HSB0196,01/02/2010 09:48:29,file
HSB0196,01/02/2010 09:49:03,file
HSB0196,01/02/2010 09:49:05,file
HSB0196,01/02/2010 09:49:27,file
HSB0196,01/02/2010 09:49:28,file
HSB0196,01/02/2010 09:49:30,file
HSB0196,01/02/2010 09:49:30,file
HPH0075,01/02/2010 09:50:53,file
HPH0075,01/02/2010 09:51:33,file
HPH0075,01/02/2010 09:51:54,file
HPH0075,01/02/2010 10:23:28,file
HPH0075,01/02/2010 10:24:21,file
HPH0075,01/02/2010 10:25:45,file
HPH0075,01/02/2010 10:26:36,file
HPH0075,01/02/2010 10:26:50,file
HPH0075,01/02/2010 10:29:29,file
MOH0273,01/02/2010 10:31:09,file
MOH0273,01/02/2010 10:33:02,file
MOH0273,01/02/2010 10:33:29,file
MOH0273,01/02/2010 10:34:04,file
MOH0273,01/02/2010 10:34:20,file
MOH0273,01/02/2010 10:35:22,file
MOH0273,01/02/2010 10:35:23,file
MOH0273,01/02/2010 10:35:46,file
MOH0273,01/02/2010 10:36:32,file
MOH0273,01/02/2010 10:37:13,file
MOH0273,01/02/2010 10:37:20,file
HSB0196,01/02/2010 10:56:31,file
HSB0196,01/02/2010 10:59:50,file
HSB0196,01/02/2010 11:17:57,file
LRR0148,01/02/2010 11:53:41,file
MOH0273,01/02/2010 12:59:04,file
MOH0273,01/02/2010 13:15:19,file
HSB0196,01/02/2010 13:31:42,file
HSB0196,01/02/2010 13:33:26,file
HPH0075,01/02/2010 13:34:56,file
BRS0734,01/02/2010 13:50:37,file
HPH0075,01/02/2010 13:51:41,file
HSB0196,01/02/2010 13:52:18,file
BRS0734,01/02/2010 13:53:13,file
BRS0734,01/02/2010 13:55:42,file
BRS0734,01/02/2010 13:58:45,file
BRS0734,01/02/2010 14:02:34,file
BRS0734,01/02/2010 14:03:04,file
BRS0734,01/02/2010 14:03:39,file
BRS0734,01/02/2010 14:08:23,file
HPH0075,01/02/2010 14:11:27,file
JDC0030,01/02/2010 14:15:02,file
JDC0030,01/02/2010 14:15:09,file
JDC0030,01/02/2010 14:18:11,file
JDC0030,01/02/2010 14:18:11,file
BRS0734,01/02/2010 14:26:11,file
BRS0734,01/02/2010 14:26:26,file
HPH0075,01/02/2010 14:27:06,file
BRS0734,01/02/2010 14:28:27,file
BRS0734,01/02/2010 14:34:52,file
BRS0734,01/02/2010 14:35:58,file
HPH0075,01/02/2010 14:39:22,file
HPH0075,01/02/2010 14:49:18,file
HPH0075,01/02/2010 14:49:42,file
HSB0196,01/02/2010 15:07:09,file
HSB0196,01/02/2010 15:14:25,file
HSB0196,01/02/2010 15:16:59,file
ABC0174,01/02/2010 15:28:07,file
IKP0472,01/02/2010 15:30:30,file
ABC0174,01/02/2010 15:34:01,file
IKP0472,01/02/2010 15:36:50,file
HSB0196,01/02/2010 15:55:48,file
IKP0472,01/02/2010 15:59:53,file
NOB0181,01/02/2010 16:03:55,file
NOB0181,01/02/2010 16:05:50,file
IKP0472,01/02/2010 16:13:09,file
MOH0273,01/02/2010 16:19:31,file
MOH0273,01/02/2010 16:21:00,file
