user,date,activity
LRR0148,01/02/2010 06:55:16,http
NGF0157,01/02/2010 07:00:13,http
NGF0157,01/02/2010 07:03:46,http
IRM0931,01/02/2010 07:05:26,http
IRM0931,01/02/2010 07:05:52,http
IRM0931,01/02/2010 07:05:55,http
LRR0148,01/02/2010 07:06:28,http
IRM0931,01/02/2010 07:06:33,http
NGF0157,01/02/2010 07:07:16,http
LRR0148,01/02/2010 07:07:50,http
IRM0931,01/02/2010 07:08:11,http
NGF0157,01/02/2010 07:08:31,http
LRR0148,01/02/2010 07:11:17,http
LRR0148,01/02/2010 07:12:32,http
LAP0338,01/02/2010 07:12:35,http
LAP0338,01/02/2010 07:12:39,http
LAP0338,01/02/2010 07:12:56,http
LAP0338,01/02/2010 07:13:23,http
LAP0338,01/02/2010 07:13:38,http
LAP0338,01/02/2010 07:13:52,http
LAP0338,01/02/2010 07:14:12,http
LAP0338,01/02/2010 07:14:13,http
LAP0338,01/02/2010 07:14:28,http
LAP0338,01/02/2010 07:14:32,http
LAP0338,01/02/2010 07:15:12,http
LAP0338,01/02/2010 07:15:26,http
IRM0931,01/02/2010 07:15:41,http
LRR0148,01/02/2010 07:16:57,http
NGF0157,01/02/2010 07:17:31,http
MOH0273,01/02/2010 07:17:40,http
LRR0148,01/02/2010 07:17:57,http
CTR0341,01/02/2010 07:18:21,http
NGF0157,01/02/2010 07:20:19,http
MOH0273,01/02/2010 07:20:47,http
IRM0931,01/02/2010 07:22:11,http
NGF0157,01/02/2010 07:23:04,http
IRM0931,01/02/2010 07:23:55,http
MOH0273,01/02/2010 07:25:17,http
NGF0157,01/02/2010 07:26:24,http
MOH0273,01/02/2010 07:27:14,http
IRM0931,01/02/2010 07:28:00,http
MOH0273,01/02/2010 07:28:39,http
MOH0273,01/02/2010 07:30:43,http
LRR0148,01/02/2010 07:34:49,http
IRM0931,01/02/2010 07:35:48,http
ATE0869,01/02/2010 07:36:44,http
ATE0869,01/02/2010 07:38:56,http
ATE0869,01/02/2010 07:39:43,http
LRR0148,01/02/2010 07:40:39,http
ABC0174,01/02/2010 07:41:06,http
AJR0319,01/02/2010 07:41:34,http
LRR0148,01/02/2010 07:42:01,http
AJR0319,01/02/2010 07:42:12,http
ATE0869,01/02/2010 07:42:55,http
ABC0174,01/02/2010 07:43:02,http
ABC0174,01/02/2010 07:43:08,http
IRM0931,01/02/2010 07:43:09,http
AJR0319,01/02/2010 07:43:14,http
ABC0174,01/02/2010 07:43:20,http
AJR0319,01/02/2010 07:43:34,http
ABC0174,01/02/2010 07:43:35,http
IRM0931,01/02/2010 07:43:47,http
AJR0319,01/02/2010 07:44:08,http
ABC0174,01/02/2010 07:44:44,http
ABC0174,01/02/2010 07:44:49,http
ATE0869,01/02/2010 07:45:14,http
ABC0174,01/02/2010 07:45:24,http
ABC0174,01/02/2010 07:45:24,http
ABC0174,01/02/2010 07:45:36,http
ABC0174,01/02/2010 07:45:55,http
IRM0931,01/02/2010 07:46:49,http
ABC0174,01/02/2010 07:46:52,http
AJR0319,01/02/2010 07:47:56,http
AJR0319,01/02/2010 07:48:00,http
ATE0869,01/02/2010 07:48:37,http
NGF0157,01/02/2010 07:49:09,http
ABC0174,01/02/2010 07:49:37,http
LRR0148,01/02/2010 07:50:08,http
ABC0174,01/02/2010 07:50:09,http
AJR0319,01/02/2010 07:50:22,http
RRC0553,01/02/2010 07:50:56,http
ATE0869,01/02/2010 07:51:01,http
ATE0869,01/02/2010 07:51:12,http
ABC0174,01/02/2010 07:51:14,http
RRC0553,01/02/2010 07:51:31,http
LRR0148,01/02/2010 07:51:47,http
RRC0553,01/02/2010 07:52:01,http
LRR0148,01/02/2010 07:52:22,http
RRC0553,01/02/2010 07:52:24,http
RRC0553,01/02/2010 07:52:55,http
ABC0174,01/02/2010 07:53:03,http
RRC0553,01/02/2010 07:53:11,http
ABC0174,01/02/2010 07:53:21,http
RZC0746,01/02/2010 07:53:28,http
RRC0553,01/02/2010 07:53:31,http
RZC0746,01/02/2010 07:53:41,http
LRR0148,01/02/2010 07:54:01,http
HPH0075,01/02/2010 07:54:15,http
AJR0319,01/02/2010 07:54:19,http
RZC0746,01/02/2010 07:54:27,http
RRC0553,01/02/2010 07:54:28,http
LRR0148,01/02/2010 07:54:37,http
ATE0869,01/02/2010 07:54:43,http
RZC0746,01/02/2010 07:54:54,http
RRC0553,01/02/2010 07:54:57,http
AJR0319,01/02/2010 07:55:03,http
RRC0553,01/02/2010 07:55:15,http
IKP0472,01/02/2010 07:56:04,http
RRC0553,01/02/2010 07:56:38,http
HPH0075,01/02/2010 07:57:11,http
IIW0249,01/02/2010 07:57:15,http
BRS0734,01/02/2010 07:57:34,http
BRS0734,01/02/2010 07:57:37,http
HPH0075,01/02/2010 07:57:47,http
HPH0075,01/02/2010 07:57:56,http
HPH0075,01/02/2010 07:58:01,http
LRR0148,01/02/2010 07:58:01,http
HPH0075,01/02/2010 07:58:05,http
BRS0734,01/02/2010 07:58:17,http
HPH0075,01/02/2010 07:58:17,http
RZC0746,01/02/2010 07:58:22,http
LRR0148,01/02/2010 07:58:25,http
AJR0319,01/02/2010 07:58:27,http
RZC0746,01/02/2010 07:58:58,http
NWK0215,01/02/2010 07:59:46,http
ESJ0670,01/02/2010 07:59:56,http
IIW0249,01/02/2010 08:00:11,http
HPH0075,01/02/2010 08:00:14,http
HPH0075,01/02/2010 08:00:23,http
ABC0174,01/02/2010 08:01:38,http
NWK0215,01/02/2010 08:01:41,http
NWK0215,01/02/2010 08:01:49,http
NWK0215,01/02/2010 08:01:53,http
RZC0746,01/02/2010 08:01:54,http
IKP0472,01/02/2010 08:02:38,http
NWK0215,01/02/2010 08:02:45,http
HPH0075,01/02/2010 08:02:47,http
ABC0174,01/02/2010 08:02:53,http
HPH0075,01/02/2010 08:02:53,http
RZC0746,01/02/2010 08:02:54,http
RZC0746,01/02/2010 08:02:55,http
ABC0174,01/02/2010 08:03:08,http
ABC0174,01/02/2010 08:03:13,http
ABC0174,01/02/2010 08:03:13,http
ABC0174,01/02/2010 08:03:14,http
RZC0746,01/02/2010 08:03:21,http
ABC0174,01/02/2010 08:03:23,http
ABC0174,01/02/2010 08:03:24,http
HPH0075,01/02/2010 08:03:39,http
RZC0746,01/02/2010 08:03:42,http
NWK0215,01/02/2010 08:03:54,http
AMW0392,01/02/2010 08:04:15,http
AJR0319,01/02/2010 08:04:16,http
JKF0465,01/02/2010 08:04:20,http
ABC0174,01/02/2010 08:04:22,http
LRR0148,01/02/2010 08:05:21,http
ABC0174,01/02/2010 08:05:47,http
RZC0746,01/02/2010 08:07:09,http
LRR0148,01/02/2010 08:07:18,http
ESJ0670,01/02/2010 08:07:30,http
LRR0148,01/02/2010 08:07:32,http
JKF0465,01/02/2010 08:07:34,http
IIW0249,01/02/2010 08:07:53,http
AMW0392,01/02/2010 08:08:00,http
YIC0195,01/02/2010 08:08:19,http
AMW0392,01/02/2010 08:08:29,http
YIC0195,01/02/2010 08:08:32,http
NWK0215,01/02/2010 08:08:34,http
YIC0195,01/02/2010 08:08:35,http
YIC0195,01/02/2010 08:08:39,http
IIW0249,01/02/2010 08:08:40,http
YIC0195,01/02/2010 08:08:42,http
NGF0157,01/02/2010 08:08:47,http
YIC0195,01/02/2010 08:08:49,http
NWK0215,01/02/2010 08:08:51,http
IIW0249,01/02/2010 08:09:01,http
NWK0215,01/02/2010 08:09:25,http
HVB0037,01/02/2010 08:09:29,http
HSB0196,01/02/2010 08:09:37,http
HVB0037,01/02/2010 08:09:37,http
HSB0196,01/02/2010 08:09:51,http
RZC0746,01/02/2010 08:10:06,http
NWK0215,01/02/2010 08:10:35,http
AJR0319,01/02/2010 08:10:51,http
HSB0196,01/02/2010 08:11:04,http
AJR0319,01/02/2010 08:11:19,http
AMW0392,01/02/2010 08:11:21,http
NWK0215,01/02/2010 08:11:23,http
HSB0196,01/02/2010 08:11:24,http
HPH0075,01/02/2010 08:11:26,http
AMW0392,01/02/2010 08:11:30,http
AJR0319,01/02/2010 08:11:35,http
ATE0869,01/02/2010 08:11:40,http
ESJ0670,01/02/2010 08:11:41,http
HSB0196,01/02/2010 08:12:01,http
NWK0215,01/02/2010 08:12:02,http
JKF0465,01/02/2010 08:12:06,http
HPH0075,01/02/2010 08:12:32,http
IRM0931,01/02/2010 08:13:03,http
ESJ0670,01/02/2010 08:13:04,http
AMW0392,01/02/2010 08:13:07,http
ABC0174,01/02/2010 08:13:10,http
AMW0392,01/02/2010 08:13:12,http
NWK0215,01/02/2010 08:13:25,http
HVB0037,01/02/2010 08:14:11,http
ESJ0670,01/02/2010 08:14:15,http
HVB0037,01/02/2010 08:14:19,http
NGF0157,01/02/2010 08:14:22,http
NWK0215,01/02/2010 08:14:43,http
RZC0746,01/02/2010 08:15:02,http
RZC0746,01/02/2010 08:15:18,http
ABC0174,01/02/2010 08:15:23,http
WPR0368,01/02/2010 08:15:36,http
WPR0368,01/02/2010 08:15:40,http
WPR0368,01/02/2010 08:15:45,http
LRR0148,01/02/2010 08:15:47,http
ABC0174,01/02/2010 08:15:48,http
WPR0368,01/02/2010 08:15:54,http
NWK0215,01/02/2010 08:15:56,http
ESJ0670,01/02/2010 08:15:58,http
WPR0368,01/02/2010 08:16:03,http
NWK0215,01/02/2010 08:16:04,http
ESJ0670,01/02/2010 08:16:08,http
RZC0746,01/02/2010 08:16:08,http
RZC0746,01/02/2010 08:16:10,http
ESJ0670,01/02/2010 08:16:11,http
ABC0174,01/02/2010 08:16:12,http
ABC0174,01/02/2010 08:16:33,http
NWK0215,01/02/2010 08:16:49,http
YIC0195,01/02/2010 08:16:57,http
RZC0746,01/02/2010 08:17:04,http
AJR0319,01/02/2010 08:17:08,http
RZC0746,01/02/2010 08:17:11,http
ESJ0670,01/02/2010 08:17:12,http
AJR0319,01/02/2010 08:17:14,http
IIW0249,01/02/2010 08:17:16,http
ABC0174,01/02/2010 08:17:50,http
JDC0030,01/02/2010 08:17:53,http
JDC0030,01/02/2010 08:17:58,http
ABC0174,01/02/2010 08:18:09,http
ABC0174,01/02/2010 08:18:12,http
AJR0319,01/02/2010 08:18:16,http
ABC0174,01/02/2010 08:18:30,http
HVB0037,01/02/2010 08:18:36,http
AJR0319,01/02/2010 08:19:02,http
HSB0196,01/02/2010 08:19:15,http
HSB0196,01/02/2010 08:19:17,http
LRR0148,01/02/2010 08:19:17,http
ATE0869,01/02/2010 08:19:19,http
HVB0037,01/02/2010 08:19:31,http
HSB0196,01/02/2010 08:19:43,http
JDC0030,01/02/2010 08:19:45,http
AJR0319,01/02/2010 08:19:53,http
WPR0368,01/02/2010 08:19:59,http
ESJ0670,01/02/2010 08:20:12,http
NWK0215,01/02/2010 08:20:12,http
HSB0196,01/02/2010 08:20:34,http
ABC0174,01/02/2010 08:20:36,http
YIC0195,01/02/2010 08:20:41,http
YIC0195,01/02/2010 08:20:50,http
HVB0037,01/02/2010 08:20:53,http
JDC0030,01/02/2010 08:20:58,http
ABC0174,01/02/2010 08:21:08,http
