user,date,activity
NGF0157,01/02/2010 06:49:00,Logon
LRR0148,01/02/2010 06:50:00,Logon
LRR0148,01/02/2010 06:53:04,Logon
IRM0931,01/02/2010 07:00:00,Logon
MOH0273,01/02/2010 07:00:00,Logon
LAP0338,01/02/2010 07:07:00,Logon
MHH0180,01/02/2010 07:08:00,Logon
NOB0181,01/02/2010 07:08:00,Logon
AHC0142,01/02/2010 07:13:00,Logon
CTR0341,01/02/2010 07:14:00,Logon
LRR0148,01/02/2010 07:24:53,Logoff
ATE0869,01/02/2010 07:33:00,Logon
NWK0215,01/02/2010 07:33:00,Logon
HVB0037,01/02/2010 07:34:00,Logon
ABC0174,01/02/2010 07:37:00,Logon
AJR0319,01/02/2010 07:37:00,Logon
JKJ0698,01/02/2010 07:37:00,Logon
JCR0172,01/02/2010 07:38:00,Logon
NOB0181,01/02/2010 07:40:42,Logon
HAD0246,01/02/2010 07:46:00,Logon
RRC0553,01/02/2010 07:46:00,Logon
NOB0181,01/02/2010 07:46:55,Logoff
IKP0472,01/02/2010 07:48:00,Logon
BRS0734,01/02/2010 07:49:00,Logon
IKP0472,01/02/2010 07:49:05,Logon
HPH0075,01/02/2010 07:50:00,Logon
RZC0746,01/02/2010 07:52:00,Logon
ESJ0670,01/02/2010 07:56:00,Logon
IIW0249,01/02/2010 07:56:00,Logon
JKF0465,01/02/2010 07:56:00,Logon
AMW0392,01/02/2010 07:58:00,Logon
IKP0472,01/02/2010 07:58:29,Logoff
IRM0931,01/02/2010 08:00:33,Logon
HSB0196,01/02/2010 08:05:00,Logon
YIC0195,01/02/2010 08:07:00,Logon
NAH0503,01/02/2010 08:13:00,Logon
WPR0368,01/02/2010 08:13:00,Logon
JDC0030,01/02/2010 08:15:00,Logon
IRM0931,01/02/2010 08:16:18,Logoff
HDD0806,01/02/2010 08:18:00,Logon
AOK0844,01/02/2010 08:20:00,Logon
FKK0055,01/02/2010 08:20:00,Logon
JHP0583,01/02/2010 08:20:00,Logon
RAW0915,01/02/2010 08:22:00,Logon
SSJ0784,01/02/2010 08:24:00,Logon
FOB0756,01/02/2010 08:29:00,Logon
CJM0521,01/02/2010 08:47:00,Logon
HLH0512,01/02/2010 08:52:00,Logon
BQS0525,01/02/2010 08:53:00,Logon
BRB0355,01/02/2010 08:54:00,Logon
IAR0694,01/02/2010 08:54:00,Logon
SMH0291,01/02/2010 08:55:00,Logon
BDI0533,01/02/2010 09:00:00,Logon
DAR0885,01/02/2010 09:01:00,Logon
ALB0892,01/02/2010 09:09:00,Logon
NGF0157,01/02/2010 09:55:53,Logon
IKP0472,01/02/2010 09:57:42,Logon
RRC0553,01/02/2010 11:03:39,Logon
MHH0180,01/02/2010 11:21:46,Logon
LRR0148,01/02/2010 11:33:09,Logon
AHC0142,01/02/2010 11:48:25,Logon
IRM0931,01/02/2010 12:05:32,Logon
