user,date,activity
PLH0862,01/04/2010 07:44:27,email
PLH0862,01/04/2010 07:50:38,email
PLH0862,01/04/2010 07:53:56,email
PLH0862,01/04/2010 07:58:27,email
PLH0862,01/04/2010 08:04:29,email
PLH0862,01/04/2010 08:07:14,email
PLH0862,01/04/2010 08:08:54,email
PLH0862,01/04/2010 08:10:55,email
PLH0862,01/04/2010 08:14:18,email
PLH0862,01/04/2010 08:16:06,email
PLH0862,01/04/2010 08:17:43,email
PLH0862,01/04/2010 12:17:44,email
PLH0862,01/04/2010 12:18:10,email
PLH0862,01/04/2010 12:18:29,email
PLH0862,01/04/2010 12:19:09,email
PLH0862,01/05/2010 08:56:20,email
PLH0862,01/05/2010 08:57:32,email
PLH0862,01/05/2010 08:58:50,email
PLH0862,01/05/2010 08:59:02,email
PLH0862,01/05/2010 09:02:25,email
PLH0862,01/05/2010 09:03:07,email
PLH0862,01/04/2010 07:41:00,Logon
PLH0862,01/04/2010 17:45:00,Logoff
PLH0862,01/05/2010 07:39:00,Logon
PLH0862,01/05/2010 17:43:00,Logoff
PLH0862,01/06/2010 07:48:00,Logon
PLH0862,01/06/2010 17:49:00,Logoff
PLH0862,01/07/2010 07:47:00,Logon
PLH0862,01/07/2010 17:41:00,Logoff
PLH0862,01/08/2010 07:40:00,Logon
PLH0862,01/08/2010 17:56:00,Logoff
PLH0862,01/11/2010 07:45:00,Logon
PLH0862,01/11/2010 17:50:00,Logoff
PLH0862,01/12/2010 07:42:00,Logon
PLH0862,01/12/2010 17:52:00,Logoff
PLH0862,01/13/2010 07:49:00,Logon
