,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,2010-01-02,43,1,1,7,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,6,5,4,2,3,4,6,2,2,2,7
0,2010-01-03,33,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,7,,,,,,,,,,
0,2010-01-04,10,1,2,2,3,2,3,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,15,1,3,3,3,1,5,4,4,4,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,15,1,5,4,6,1,5,4,4,4,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,14,1,1,7,5,4,4,4,4,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-08,12,1,1,5,4,4,4,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-09,11,1,1,5,4,5,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-10,10,1,5,4,1,6,5,7,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,9,1,1,5,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,11,1,5,4,4,4,6,5,4,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,3,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
