,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2010-01-02,21,1,1,2,7,2,2,3,1,2,2,2,2,5,4,4,4,4,6,2,2,7
0,2010-01-03,13,1,2,2,2,1,2,2,3,2,2,2,2,7,,,,,,,,
0,2010-01-04,9,1,1,5,4,4,4,6,3,7,,,,,,,,,,,,
0,2010-01-05,3,1,1,7,,,,,,,,,,,,,,,,,,
0,2010-01-06,6,1,5,6,4,1,7,,,,,,,,,,,,,,,
0,2010-01-07,8,1,1,7,5,4,4,6,7,,,,,,,,,,,,,
0,2010-01-08,3,1,1,7,,,,,,,,,,,,,,,,,,
0,2010-01-09,18,1,5,4,6,1,5,4,6,5,4,6,5,4,4,4,4,6,7,,,
0,2010-01-10,14,1,5,4,6,5,4,4,4,4,4,6,1,7,7,,,,,,,
0,2010-01-11,9,1,1,5,4,4,6,5,6,7,,,,,,,,,,,,
0,2010-01-12,9,1,1,7,5,6,1,5,6,7,,,,,,,,,,,,
0,2010-01-13,1,1,,,,,,,,,,,,,,,,,,,,
