,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2010-01-02,35,1,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
0,2010-01-03,35,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,7
0,2010-01-04,6,1,3,3,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,5,1,1,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-08,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-10,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,4,7,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
