,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2010-01-02,44,1,2,2,5,2,3,2,3,6,2,3,5,6,5,2,2,2,2,6,2,2,2,5,2,6,2,2,2,2,2,2,5,2,6,2,2,2,5,2,6,2,2,2,7,,,,,,
0,2010-01-03,50,1,2,5,2,2,6,5,6,5,6,5,6,3,3,5,2,2,2,2,2,6,3,5,6,2,2,2,2,2,2,2,2,2,2,2,2,5,6,5,2,2,6,2,5,2,2,2,2,6,7
0,2010-01-04,27,1,5,6,3,3,5,6,5,3,6,5,6,5,6,5,6,5,4,4,4,6,5,4,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,18,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,19,1,5,4,4,6,5,6,5,6,5,6,5,4,6,5,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,25,1,5,6,5,6,5,6,1,7,5,6,5,6,5,6,5,6,5,6,5,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-08,16,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-09,23,1,5,4,6,5,6,5,6,5,6,5,6,5,4,6,5,6,5,6,5,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-10,21,1,5,6,5,6,5,6,1,5,6,5,6,5,6,5,6,7,5,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,18,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,15,1,5,6,5,6,5,6,5,6,5,6,5,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,11,1,5,6,5,6,5,6,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
