,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,2010-01-02,36,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,,,,,
0,2010-01-03,41,1,5,2,4,4,4,6,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
0,2010-01-04,16,1,3,3,5,4,6,3,5,4,4,4,4,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,15,1,5,4,6,5,4,1,5,4,4,6,5,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,3,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,22,1,5,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,6,5,6,7,,,,,,,,,,,,,,,,,,,
0,2010-01-08,15,1,5,4,6,1,5,4,4,4,4,6,5,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-10,12,1,5,4,4,4,4,6,5,4,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,18,1,5,4,4,4,6,5,6,5,4,4,6,5,1,4,6,7,7,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,10,1,5,4,4,4,6,1,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,3,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
