,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,2010-01-02,34,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
0,2010-01-03,34,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,7
0,2010-01-04,5,1,3,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-06,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-07,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-08,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-10,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-12,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
