,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2010-01-03,30,1,3,2,2,2,2,1,2,2,5,4,4,4,4,4,4,4,4,4,4,6,2,2,5,4,4,6,2,2,7
0,2010-01-04,4,1,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-05,15,1,1,7,5,4,3,4,6,5,4,4,4,4,6,7,,,,,,,,,,,,,,,
0,2010-01-06,13,1,5,4,4,6,5,4,4,4,4,6,1,7,,,,,,,,,,,,,,,,,
0,2010-01-07,17,1,5,4,4,4,4,4,4,6,1,5,4,4,4,4,6,7,,,,,,,,,,,,,
0,2010-01-08,20,1,5,4,4,4,4,4,4,4,6,1,1,7,7,1,5,4,4,6,7,,,,,,,,,,
0,2010-01-09,21,1,5,4,6,1,5,4,6,5,4,4,4,4,6,5,4,6,5,4,6,7,,,,,,,,,
0,2010-01-10,16,1,1,5,4,6,5,4,6,5,4,4,4,4,4,6,7,,,,,,,,,,,,,,
0,2010-01-11,13,1,1,7,5,6,5,4,6,5,4,4,6,7,,,,,,,,,,,,,,,,,
0,2010-01-12,20,1,5,4,4,4,4,4,4,6,1,4,5,4,4,4,6,5,4,4,7,,,,,,,,,,
0,2010-01-13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
