,date,length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,2010-01-04,22,1,5,6,5,6,5,6,1,5,6,5,6,3,5,6,5,6,5,6,5,6,7,,,
0,2010-01-05,24,1,5,6,5,6,5,6,1,5,4,6,5,6,5,4,6,5,6,5,6,5,4,6,7,
0,2010-01-06,21,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,1,,,,
0,2010-01-07,22,7,1,5,6,5,6,5,6,1,5,6,5,6,5,6,5,6,5,6,5,6,7,,,
0,2010-01-08,21,1,5,6,5,6,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,,,,
0,2010-01-09,25,1,5,6,5,6,5,4,6,5,6,5,6,5,6,5,6,5,6,5,4,6,1,7,7,1
0,2010-01-10,1,7,,,,,,,,,,,,,,,,,,,,,,,,
0,2010-01-11,19,1,1,5,4,6,5,4,6,5,6,5,4,6,5,6,5,4,6,7,,,,,,
0,2010-01-12,21,1,5,6,5,6,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,7,,,,
0,2010-01-13,9,1,5,6,5,6,5,6,5,6,,,,,,,,,,,,,,,,
